Name,Origin,Description,WikiUrl,ImageUrl
Alle Belle,Goa,This is a delicate coconut and jaggery pancake.,,
Ariselu,India,"This dessert is made with flour, soaked rice, and molten jaggery, fried with oil, and topped with sesame or poppy seeds.",https://en.wikipedia.org/wiki/Ariselu,https://upload.wikimedia.org/wikipedia/commons/a/aa/Ariselu_or_Adhirasam_or_Kajjaya_or_Athirasa.jpg
Banana fritter,Southeast Asia and the Indian subcontinent,A fritter made by deep-frying battered banana or plantain in hot oil.,https://en.wikipedia.org/wiki/Banana_fritter,https://upload.wikimedia.org/wikipedia/commons/1/18/Banana_empanada.jpg
Badusha,India,"A South Indian food similar to glazed donut, also called ""balushahi.""",https://en.wikipedia.org/wiki/Balushahi,https://upload.wikimedia.org/wikipedia/commons/a/ae/Badusha.jpg
Bitterballen,Netherlands,"A round-shaped beef-ragout version of croquette, typically containing a mixture of beef or veal (minced or chopped), beef broth, butter, flour for thickening, parsley, salt, and pepper, resulting in a thick ragout. Most recipes include nutmeg and there are also variations utilizing curry powder or that add in finely chopped vegetables such as carrot.",https://en.wikipedia.org/wiki/Bitterballen,https://upload.wikimedia.org/wikipedia/commons/8/89/Bitterballen_mosterd_mayo.jpg
Bonda,South India,Various sweet and spicy versions exist in different regions. The process of making a spicy bonda involves deep-frying potato (or other vegetables) filling dipped in gram flour batter.,https://en.wikipedia.org/wiki/Bonda,https://upload.wikimedia.org/wikipedia/commons/3/3e/Bonda2.jpg
Cereal,United States,"A food made from processed grains that is often eaten cold, usually mixed with milk (e.g. cow's milk, soy milk, rice milk, almond milk), juice, water, or yogurt, sugar, and sometimes fruit, but may be eaten dry.",https://en.wikipedia.org/wiki/Breakfast_cereal,https://upload.wikimedia.org/wikipedia/commons/8/8d/Breakfast_of_Champions.jpg
Cokodok,"Malaysia, Brunei, Singapore","A traditional Malaysian fritter snack that is made with flour and banana, and is fried. It is usually round in shape and tends to vary in size.",https://en.wikipedia.org/wiki/Cokodok,https://upload.wikimedia.org/wikipedia/commons/c/c9/YosriJemputBawang.jpg
Cracker nuts,Japan,A snack food produced with peanuts that are coated in a wheat flour dough and then fried or deep-fried,https://en.wikipedia.org/wiki/Cracker_nuts,https://upload.wikimedia.org/wikipedia/commons/1/1b/Nagarya_cracker_nuts.jpg
Crêpe,France,"A type of very thin pancake, usually made from wheat flour (crêpes de Froment) or buckwheat flour (galettes). The word is of French origin, deriving from the Latin crispa, meaning ""curled"".",https://en.wikipedia.org/wiki/Cr%C3%AApe,https://upload.wikimedia.org/wikipedia/commons/e/e7/Cr%C3%AApe_opened_up.jpg
